,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
14,182.15003221035005,20.824293853924612,0.13076560497283934,0.02934171347870185,linear,0.01,1e-07,0.1,"{'activ': 'linear', 'd_c': 0.01, 'eps': 1e-07, 'l_r': 0.1}",-0.13236700075339142,-0.18012336240084595,-0.26481087054411645,-0.2632610948100455,-0.18829257916969883,-0.17789684913716708,-0.29086286333109135,-0.5265582017903742,-0.17586303267666392,-0.3879400650739584,-0.2587975919687353,0.11402900660568543,82
15,185.78431098461152,20.577341730951563,0.14184091091156006,0.026021012036216228,linear,0.01,0.1,0.01,"{'activ': 'linear', 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.01}",-0.12745184508448373,-0.176632744763801,-0.2654725749515523,-0.27269956077515944,-0.16361037661712666,-0.17125878097594072,-0.2848779726418679,-0.5171810604180724,-0.17051425343145257,-0.3857037197173766,-0.2535402889376833,0.11490394278158539,71
16,166.85231201648713,17.9597973440566,0.1438199758529663,0.020070925024757845,linear,0.01,0.1,0.05,"{'activ': 'linear', 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.05}",-0.13077712170779796,-0.1788079712858463,-0.2646844104120678,-0.2644178063132074,-0.1785253588002375,-0.17474183721548056,-0.2880211787444046,-0.5228404074846136,-0.17354986833391617,-0.38726432786128423,-0.2563630288158857,0.11430094272420636,74
17,189.70166273117064,20.395308987442338,0.12987821102142333,0.023564310262776018,linear,0.01,0.1,0.1,"{'activ': 'linear', 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.1}",-0.13211137979106916,-0.1791788987511202,-0.2643247149102735,-0.26319413953824644,-0.18193298514820513,-0.17652218655155943,-0.2890446239893375,-0.524348361375918,-0.1748306061386422,-0.3871729224962762,-0.25726608186906474,0.11404172067571461,76
18,176.35355000495912,22.03777329059095,0.13802571296691896,0.02924957011885938,tanh,0.001,1e-07,0.01,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 1e-07, 'l_r': 0.01}",-0.0861729286222991,-0.1529026409415649,-0.22234071111758036,-0.2397903732796742,-0.10533535923276742,-0.10948963548428112,-0.24993532105519842,-0.4970314934997041,-0.15602738464843272,-0.34232957155615046,-0.2161355419437653,0.12029948046671296,12
19,181.20131499767302,17.7313564610793,0.13116543292999266,0.015685994450171145,tanh,0.001,1e-07,0.05,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 1e-07, 'l_r': 0.05}",-0.08595847090767295,-0.15236054459908116,-0.2218758759676357,-0.250431128212835,-0.10746195133699099,-0.11096225841655054,-0.24965986752291744,-0.4942325386055226,-0.1518751862599655,-0.34473350271881953,-0.21695513245479914,0.12008986599427918,15
20,187.53877987861634,18.463978356302132,0.13572216033935547,0.016960135612046505,tanh,0.001,1e-07,0.1,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 1e-07, 'l_r': 0.1}",-0.08576956534916287,-0.15527365070807003,-0.21824253198466492,-0.23958729293147035,-0.11553544293016944,-0.1163725060737807,-0.2498174108119082,-0.49924396705774227,-0.15301867596012014,-0.3429341851159068,-0.21757952289229956,0.11943724606264,19
21,179.02852177619934,19.54713871469885,0.14887645244598388,0.031632144722455575,tanh,0.001,0.1,0.01,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.01}",-0.08426266758458424,-0.15424323231656262,-0.2198545629704024,-0.23978606449161233,-0.10222479110330115,-0.10657478220361699,-0.2483913408743654,-0.49667897056889965,-0.1564142795974682,-0.3400538619591394,-0.21484845536699523,0.12059202948425136,4
22,191.68782391548157,16.58092665953877,0.135941481590271,0.012293910850599036,tanh,0.001,0.1,0.05,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.05}",-0.08410172429523188,-0.15387376326528157,-0.2233545949690576,-0.24383225490216975,-0.10595294302131772,-0.1096368337310832,-0.2516195805043268,-0.4980812937928889,-0.15788320513135568,-0.3461747847995906,-0.21745109784123037,0.12109897489672487,16
23,163.38107938766478,13.87322643105505,0.15793893337249756,0.024210243134322375,tanh,0.001,0.1,0.1,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.1}",-0.0924828668829419,-0.15338161743013642,-0.22418344791606382,-0.23354079244558618,-0.1070182392516667,-0.11053387017533346,-0.253667041904817,-0.4968294836624647,-0.1464015120418227,-0.3426915174987957,-0.21607303892096286,0.11988784870448527,11
