,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
15,18.954447674751282,1.0866260556867469,0.14581353664398194,0.020032530026241006,0.001,0.1,0.01,-2,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.01, 'reg': -2}",-0.07990697725383301,-0.15592018437751515,-0.21901490181690642,-0.24204848979337734,-0.104077289721322,-0.1040511648589282,-0.24364649372545696,-0.49755144124171863,-0.16146695248900203,-0.34385733350606085,-0.21515412287841204,0.12133733222143082,24
16,19.658764696121217,1.5135851454739988,0.15433857440948487,0.0346626414014063,0.001,0.1,0.05,-0.5,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.05, 'reg': -0.5}",-0.1119001875592791,-0.1514894010959527,-0.2369646861293122,-0.25692595367478616,-0.14721472213363718,-0.14024272108737865,-0.2678867854518666,-0.4923132089875327,-0.1874369806674061,-0.37774246798463285,-0.23701171147717845,0.11366010717305745,65
17,18.13836109638214,0.9624301415336075,0.13286871910095216,0.013779239014909168,0.001,0.1,0.05,-1,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.05, 'reg': -1}",-0.09272970793434769,-0.14970095720197302,-0.22049553548303197,-0.23561328361033118,-0.10835284400714255,-0.11173023955786576,-0.2504682413153515,-0.4995949512114868,-0.14892675979244618,-0.3341634589794314,-0.21517759790934082,0.11938380417841886,25
18,19.43225920200348,1.3302810306750195,0.14097869396209717,0.016701812084385394,0.001,0.1,0.05,-1.5,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.05, 'reg': -1.5}",-0.0800647357930901,-0.18848936152938836,-0.2180135523973917,-0.22228581690333976,-0.10243238431518692,-0.10640756465203828,-0.24373766751130757,-0.49925589459554803,-0.16444850202929057,-0.3299542954111574,-0.21550897751377388,0.11867219967888126,29
19,18.95471098423004,1.3532647845204338,0.14008381366729736,0.03025645697676329,0.001,0.1,0.05,-2,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.05, 'reg': -2}",-0.08280183121170426,-0.1518291938111948,-0.21604885547519492,-0.22811001357012436,-0.10287952988089541,-0.11012962342232153,-0.2448681739381876,-0.5017074030072217,-0.16687673592975683,-0.3321119686440058,-0.21373633288906074,0.12013201521440306,15
20,19.031432700157165,1.3301088983887939,0.1443295955657959,0.027382880897626163,0.001,0.1,0.1,-0.5,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.1, 'reg': -0.5}",-0.1035521418734421,-0.15776984718360074,-0.2593020178948596,-0.23903822508137662,-0.13083349481923906,-0.15685912008383168,-0.2730969614894287,-0.49559565834957453,-0.20076746498329767,-0.37788961159725026,-0.2394704543355901,0.11469852776871747,68
21,19.056632900238036,1.5972025303858195,0.13267452716827394,0.014466115615429515,0.001,0.1,0.1,-1,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.1, 'reg': -1}",-0.08566618246194091,-0.15658981458696558,-0.22884479886500667,-0.22589252296621917,-0.10998753372951223,-0.11686572059706447,-0.2596009750421803,-0.4861878137017841,-0.15895296667998357,-0.3361965405123174,-0.21647848691429744,0.11595143634854936,40
22,18.816309213638306,1.1810235893242211,0.1406261682510376,0.022559530336082042,0.001,0.1,0.1,-1.5,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.1, 'reg': -1.5}",-0.08558805343147621,-0.15544042502202018,-0.21627277795057404,-0.22668384093879462,-0.10356048066135938,-0.10353190181775423,-0.2479020687261526,-0.49705813239001284,-0.1536375050389703,-0.34372584912400517,-0.21334010351011196,0.12092324590523124,10
23,19.385939264297484,0.9253827561426037,0.15316731929779054,0.024425982111090237,0.001,0.1,0.1,-2,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.1, 'reg': -2}",-0.08094675530002178,-0.16273895140373523,-0.21726130434370136,-0.25029052051637807,-0.10202708138710878,-0.10180601043082721,-0.24575542192444488,-0.4942246627063444,-0.15848744945222706,-0.34562681295382053,-0.21591649704186092,0.12111512076118246,35
24,18.81842679977417,0.5685909934588645,0.13457398414611815,0.023140836398566154,0.005,1e-07,0.01,-0.5,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.01, 'reg': -0.5}",-0.1044044496592521,-0.15718331265363655,-0.24057476201768008,-0.2670488609503817,-0.12159333293836777,-0.13339668765334695,-0.26257605117564065,-0.49739532234840406,-0.1560085392230686,-0.368237165760604,-0.23084184843803826,0.11865234175194721,58
25,19.766089630126952,1.24366346263215,0.13176212310791016,0.029890416683990787,0.005,1e-07,0.01,-1,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.01, 'reg': -1}",-0.08417417372817129,-0.15603423285628285,-0.2174200786212322,-0.23788926768306262,-0.09971891015225277,-0.10670082656275172,-0.2501744557332078,-0.506564315708778,-0.15752888311897084,-0.3415113097078365,-0.21577164538725463,0.12316235359808325,31
26,19.15172004699707,1.5075244703303459,0.12866196632385254,0.013516017877475495,0.005,1e-07,0.01,-1.5,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.01, 'reg': -1.5}",-0.08136746626510441,-0.15515088140263208,-0.2155862616029098,-0.22901935527875486,-0.10204523547233116,-0.10604616697350795,-0.24509613958785456,-0.4953241645292954,-0.15709996658679257,-0.34338741054454747,-0.213012304824373,0.12064403019903899,7
27,19.38383240699768,1.0999091521751039,0.1462179660797119,0.029042592428417155,0.005,1e-07,0.01,-2,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.01, 'reg': -2}",-0.08163037608003575,-0.15567419911773586,-0.21704945316357185,-0.23264685070141422,-0.10459055526370639,-0.10692073580087554,-0.24437176872888564,-0.49737389265245535,-0.16541382821163736,-0.3380677855128995,-0.21437394452332176,0.11987170497188318,20
28,19.31934630870819,0.9119095010169447,0.15730686187744142,0.029323110970434114,0.005,1e-07,0.05,-0.5,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.05, 'reg': -0.5}",-0.11568439986583702,-0.16752015217962662,-0.2375743523130094,-0.2607920275562796,-0.12669637319953408,-0.14601476398721674,-0.26813117739293796,-0.5117184985233845,-0.15818428818321684,-0.3652394385260005,-0.23575554717270428,0.11816839883555193,63
29,19.451562786102294,1.14843425513016,0.14921956062316893,0.02315163459078567,0.005,1e-07,0.05,-1,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.05, 'reg': -1}",-0.08428866644882861,-0.15414791066024264,-0.2245616000459268,-0.25323221360852183,-0.10306864329454156,-0.10834550979159988,-0.2514731094298066,-0.4902881842682859,-0.15619742845631046,-0.34111766170753816,-0.21667209277116023,0.11945488057241783,41
30,19.435719871520995,0.8388821119569083,0.13955340385437012,0.016974951724088624,0.005,1e-07,0.05,-1.5,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.05, 'reg': -1.5}",-0.0814499351196505,-0.1584436962146298,-0.21660223752453678,-0.2319479698958972,-0.0999968943491219,-0.11066047286916292,-0.24422298560485556,-0.513878300102103,-0.15886938381027282,-0.3413936796701669,-0.21574655551603975,0.12439418935381263,30
31,19.334536814689635,1.1208745343247601,0.1469369888305664,0.025832417269001748,0.005,1e-07,0.05,-2,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.05, 'reg': -2}",-0.07831939339017473,-0.15496691608624358,-0.21564134012360167,-0.2232091627611759,-0.10129797411616491,-0.10924509763129218,-0.2441224504151841,-0.49585473948440123,-0.16405289044836588,-0.3403641575486964,-0.21270741220053005,0.12018832443849789,5
32,18.371356582641603,0.4809023104097675,0.13512773513793946,0.030897021931405668,0.005,1e-07,0.1,-0.5,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.1, 'reg': -0.5}",-0.1197123273162086,-0.16010912180254758,-0.2424999675076752,-0.2846793751437075,-0.13898540074218743,-0.14585384011979297,-0.2674347471400597,-0.5072511907728541,-0.16324325999537756,-0.36342100831868185,-0.23931902388590925,0.11628292702242485,67
33,19.428732132911684,0.9705165721715577,0.1405738115310669,0.021635450958169645,0.005,1e-07,0.1,-1,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.1, 'reg': -1}",-0.092009020770904,-0.1518116534601681,-0.22500575140459342,-0.23960113608081485,-0.10734620544407536,-0.1094754420445361,-0.24795444927363003,-0.4939918960235228,-0.15704663670845248,-0.3456389658719272,-0.21698811570826243,0.11910404289347823,42
34,18.80869653224945,0.8870667990866054,0.1498178720474243,0.027644899720280138,0.005,1e-07,0.1,-1.5,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.1, 'reg': -1.5}",-0.07803146238386931,-0.15787188772133093,-0.23151126577877332,-0.2270701297650492,-0.10033620295113865,-0.10746581326725382,-0.2448797151693322,-0.5135603925658372,-0.16555143162443342,-0.3359232558596361,-0.21622015570866537,0.1241923956687949,39
