,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_n_layer,param_n_neur,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
13,208.16971976757048,28.334342663733842,0.15189032554626464,0.024561466305539344,tanh,3,5,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 5}",-0.6142242114626717,-0.15678298835631846,-0.22186830297837504,-1.0709548260048345,-0.10050336570268123,-0.10958733963736018,-0.24854094902192414,-0.496013896742589,-0.15910045571218015,-0.33360911282129835,-0.3511185448440233,0.2883921706729689,33
14,217.35856692790986,30.732214734320173,0.20640299320220948,0.03952919422129626,tanh,3,7,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 7}",-0.0854663890688643,-0.15778418388926604,-0.2195216435993764,-0.2395368076467998,-0.10055935605485217,-0.10962452273478271,-0.2490968670019967,-0.49400103568895476,-0.16446111703220817,-0.3359004127978057,-0.21559523355149066,0.11876341107059424,13
15,243.7768510580063,19.66098573313911,0.18686320781707763,0.035344305752713835,tanh,3,10,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 10}",-0.08559579580950552,-0.15699315863520683,-0.22351846820074137,-0.24267879300840825,-0.10075037699182474,-0.10767157380982045,-0.2485182004833398,-0.49542076190274337,-0.1613534008121739,-0.3345567864226795,-0.21570573160764442,0.1193513153253995,15
16,250.7676195383072,8.166751726983701,0.1773676633834839,0.029477520645147196,tanh,3,13,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 13}",-0.08548315339635029,-0.1576406431484321,-0.22221208690203567,-0.24312919395953853,-0.1001906770815467,-0.10876789468771433,-0.2493000704612491,-0.4941256066941569,-0.1610779568835823,-0.3344973207571819,-0.21564246039717877,0.11901474024058992,14
17,258.75689284801484,4.165896315569454,0.18251407146453857,0.027769070704716906,tanh,3,15,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 15}",-0.6139595974038087,-0.15586423840581456,-0.22420175433720788,-0.23944651177910187,-0.10071957804998809,-0.11129360008822232,-0.2493900644882603,-0.9877877574405847,-0.16032161881103213,-0.3334960241150561,-0.31764807449190763,0.2640476265414689,28
18,230.96142671108245,21.406247867424703,0.1874859571456909,0.026313239856111732,tanh,4,3,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 3}",-0.6145181135719355,-0.7583206687067189,-0.22266201473401664,-0.2427481052196386,-0.10136561299500284,-0.72822630697615,-0.25118965093482404,-0.49405154594931233,-0.1604711231554836,-0.33300969948063375,-0.39065628417237164,0.2279216080216852,35
19,236.16059911251068,26.86932894126876,0.16302075386047363,0.023424857832019946,tanh,4,5,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 5}",-0.08650537379328029,-0.16144802559458707,-0.22636221465676526,-0.2386546062921314,-0.10096447076102413,-0.1107952168816222,-0.24978184664210293,-0.49625670891196266,-0.16305172462128284,-0.33269661706002585,-0.21665168052147843,0.11864611736656056,16
20,209.1919992208481,18.286460923836785,0.2000089168548584,0.0367604715953897,tanh,4,7,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 7}",-0.0870565765257872,-0.15886971970687794,-1.0039448674049851,-0.2434616844703655,-0.1043030915931479,-0.11060463916056959,-0.2498752008652221,-0.4962940175161677,-0.16316162521729674,-0.9086827442967442,-0.35262541667571645,0.3226041558580082,34
21,275.7555543899536,31.803110942318046,0.19988772869110108,0.04991050562981028,tanh,4,10,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 10}",-0.08650217465189718,-0.15873131471469015,-0.22223963267660224,-0.2437459832403816,-0.1024148181331287,-0.1115354549883854,-0.24978330443091018,-0.49546741028017394,-0.16286978948498607,-0.9085447438026791,-0.27418346264038346,0.23927052255702994,26
22,272.04021725654604,26.109307530839594,0.20584607124328613,0.03802676733993612,tanh,4,13,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 13}",-0.0874581132763229,-0.7584835025962953,-1.0041586363235728,-1.0705340822681513,-0.1022072280765889,-0.11089558393658003,-0.6865967489538224,-0.9870883466684991,-0.16277896193686436,-0.3351024398882908,-0.5305303643924988,0.39115119091521705,39
