,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_batch_size,param_d_c,param_epochs,param_l_r,param_n_layer,param_n_neur,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
238,3.8058040142059326,0.33310851333932906,0.1829892635345459,0.042288665144782106,relu,4,0.001,100,0.1,2,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 4, 'reg': -3}",-1.5957615056651688,-85.3396848475871,-7.585580096890529,-4.538686692714691,-3.901517839729786,-20.592246196517454,32.43013349134786,331
239,3.912920331954956,0.10677740663047888,0.20203285217285155,0.04980825931959207,relu,4,0.001,100,0.1,2,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 4, 'reg': -4}",-96.00166715366677,-0.8351499473764783,-106.67249259663124,-1.406378808475676,-1.9408812433481217,-41.37131394989966,49.07923202362537,733
240,4.915708589553833,0.6384286394317026,0.3426476001739502,0.10426915367812545,relu,4,0.001,100,0.1,2,5,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 5, 'reg': -2}",-2.2052644649964,-2.201603372891744,-1.1372586528859323,-2.1250091996930895,-112.00331304073333,-23.9344897462401,44.03626325007741,426
241,5.477045631408691,1.5197691338513877,0.16240553855895995,0.09485708928431753,relu,4,0.001,100,0.1,2,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 5, 'reg': -3}",-6.460585949498983,-2.1889722567229044,-2.69527395941051,-1.1768609072480882,-1.318954774737358,-2.768129569523569,1.929103874460897,85
242,3.6097568035125733,0.3525753833703837,0.21138262748718262,0.10227269889453093,relu,4,0.001,100,0.1,2,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 5, 'reg': -4}",-2.334871220624163,-1.5533374065444583,-106.66961589921266,-2.6478459607987177,-112.00159438489936,-45.04145297441587,52.524236766582504,885
243,5.937869596481323,1.23565919907029,0.18088998794555664,0.110961625267764,relu,4,0.001,100,0.1,3,3,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 3, 'reg': -2}",-3.9132078626592244,-85.34017547397386,-106.6677210056223,-3.61597102028983,-112.00393591541797,-62.30820225559264,48.62644962483636,1121
244,3.819804000854492,0.09405069971879518,0.1789010524749756,0.07951115909098531,relu,4,0.001,100,0.1,3,3,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 3, 'reg': -3}",-96.00479489609245,-85.34424175960677,-106.66707335179672,-1.6121526537906556,-112.0017175072804,-80.32599603371341,40.408118859258046,1350
245,5.8609099864959715,0.3228143209282113,0.25404949188232423,0.0443012774530239,relu,4,0.001,100,0.1,3,3,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 3, 'reg': -4}",-3.1511969827115536,-1.9006816070704233,-106.67194612820943,-1.489213853364899,-112.00383453187533,-45.04337462064633,52.526175275647574,887
246,4.47150936126709,0.8425897055617466,0.1651984214782715,0.03045661753739895,relu,4,0.001,100,0.1,3,4,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 4, 'reg': -2}",-96.00064817334835,-85.33668107477327,-106.66792284402375,-74.67297108023472,-112.0066005796194,-94.9369647503999,13.659532595793944,1405
247,4.6032756805419925,1.2545060305866769,0.14232616424560546,0.04845650986314003,relu,4,0.001,100,0.1,3,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 4, 'reg': -3}",-96.01229608152062,-1.2730399994623094,-106.66768108929197,-74.67400339361103,-3.6570274172350765,-56.456809596224204,45.27847104770783,989
248,3.5690244674682616,0.5329782061216297,0.14453525543212892,0.02835839986249669,relu,4,0.001,100,0.1,3,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 4, 'reg': -4}",-2.3394682959575825,-85.33620378747582,-9.352199457940602,-74.67192776909187,-2.5774627931416036,-34.8554524207215,37.10318508538883,575
249,4.027391052246093,0.19138882848790104,0.15164265632629395,0.03923547343307406,relu,4,0.001,100,0.1,3,5,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 5, 'reg': -2}",-96.01033747568727,-2.0840783767579567,-3.192469748890116,-74.67537641773622,-3.4207982193678617,-35.876612047687885,40.951135250344684,603
250,4.338010358810425,0.2755383335874702,0.16759328842163085,0.05279379362821232,relu,4,0.001,100,0.1,3,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 5, 'reg': -3}",-96.0085358037835,-85.33369031266886,-106.66909066370378,-74.69273989292837,-112.00329088196159,-94.94146951100922,13.653585237136781,1419
251,4.0908318042755125,0.31419737353620353,0.16432757377624513,0.06913928126568818,relu,4,0.001,100,0.1,3,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.1, 'n_layer': 3, 'n_neur': 5, 'reg': -4}",-1.5912868934905244,-2.062633588200524,-4.848530493587965,-2.193486978610357,-112.0023686669767,-24.539661324173213,43.746227224429084,447
252,4.015409135818482,1.087290512167162,0.1414790630340576,0.04222951869219146,relu,4,0.001,100,0.3,2,3,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 3, 'reg': -2}",-2.065598349131289,-85.34175221001108,-106.66782946387927,-2.257055865157218,-12.247136348485947,-41.71587444733296,44.98782714188074,759
253,4.458742332458496,0.7477677134090012,0.18212437629699707,0.09710388794251457,relu,4,0.001,100,0.3,2,3,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 3, 'reg': -3}",-96.01652386571679,-1.3886640724681674,-106.70404961456855,-3.11502966994331,-112.00113944988698,-63.84508133451676,50.556586202338835,1154
254,4.234452152252198,1.0173931054609417,0.13183183670043946,0.028847062439100023,relu,4,0.001,100,0.3,2,3,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 3, 'reg': -4}",-1.4429719983821823,-85.3460001319292,-5.9631767158973075,-74.68577404692769,-112.08364648222923,-55.90431387507313,44.35274171408348,978
255,3.13595232963562,0.17596782831514332,0.16932454109191894,0.06160434040701529,relu,4,0.001,100,0.3,2,4,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 4, 'reg': -2}",-96.00159115308807,-12.522935129347301,-1.9075761112783636,-74.69440857196848,-1.9425427846610546,-37.41381075006865,39.90195540315154,629
256,3.4664876461029053,0.16487324228765504,0.1371100902557373,0.02590838816426149,relu,4,0.001,100,0.3,2,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 4, 'reg': -3}",-2.9611193150991486,-4.641447531680266,-3.4984739766944024,-74.67040140066473,-2.1004278815351425,-17.574374021134737,28.559895358356787,247
257,3.866942548751831,1.0815205047864433,0.14632220268249513,0.04120579765400151,relu,4,0.001,100,0.3,2,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 4, 'reg': -4}",-96.0011221072193,-6.79295403616769,-106.67431587042908,-74.6693800896894,-112.00013440568,-79.22758130183709,38.40902907385098,1335
258,3.951041603088379,0.8283389794665463,0.1878528118133545,0.08616777775197969,relu,4,0.001,100,0.3,2,5,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 5, 'reg': -2}",-96.0534483268857,-85.37418229310285,-106.71449458102386,-74.68672536934416,-112.00229046270252,-94.96622820661182,13.657941336241551,1452
259,4.362592792510986,0.8776595162371489,0.21367130279541016,0.09968021521628263,relu,4,0.001,100,0.3,2,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 5, 'reg': -3}",-5.929618261931908,-1.9291895471868061,-7.0306115698601515,-9.275770001822995,-5.724477794766426,-5.977933435113657,2.3850684880609627,179
260,3.5350093841552734,0.2971895922531702,0.14577703475952147,0.029710469991399438,relu,4,0.001,100,0.3,2,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 2, 'n_neur': 5, 'reg': -4}",-2.377354358101175,-1.6602875668378103,-2.8404656648635864,-3.642710032917204,-11.495760379359126,-4.40331560041578,3.6042340501438477,151
261,4.830212831497192,0.905408095350492,0.12270278930664062,0.025590099525466557,relu,4,0.001,100,0.3,3,3,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 3, 'reg': -2}",-96.00179965958176,-85.34845591114745,-106.71310046811898,-2.5965928506283533,-112.01146968603135,-80.53428371510158,40.03210622475087,1362
262,4.418135929107666,0.3212300667654075,0.17018284797668456,0.051706193484517445,relu,4,0.001,100,0.3,3,3,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 3, 'reg': -3}",-96.00222444348037,-85.34878286737062,-106.66810812956344,-74.6759725684921,-112.02499102242291,-94.9440158062659,13.661595313139523,1429
263,3.8846554279327394,0.2549268023877373,0.17714710235595704,0.0396047953124055,relu,4,0.001,100,0.3,3,3,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 3, 'reg': -4}",-96.00517945027067,-1.5479475501037778,-106.66711208759807,-74.70137615253527,-112.00930262636393,-78.18618357337434,40.393678686360666,1299
264,4.172576761245727,0.9119795924270959,0.15141892433166504,0.029629813267094473,relu,4,0.001,100,0.3,3,4,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 4, 'reg': -2}",-96.00042147125073,-85.33628107869022,-106.6770939535151,-74.68107364326715,-112.00456414371729,-94.9398868580881,13.658248290087679,1410
265,3.3155949115753174,0.050962696143901365,0.14844422340393065,0.029117505967894492,relu,4,0.001,100,0.3,3,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 4, 'reg': -3}",-96.00168650832381,-2.6927527873998596,-106.67459154874086,-74.68300493309896,-112.00866760239005,-78.41214067599071,39.960523092298054,1318
266,3.80501012802124,1.1977952233886433,0.11453919410705567,0.027939767480333187,relu,4,0.001,100,0.3,3,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 4, 'reg': -4}",-96.0030304507042,-85.34374200029387,-5.64315808174156,-1.7953515847524006,-112.01957049667836,-60.16097052283408,46.876170871336534,1073
267,3.917098569869995,1.0988993876556121,0.12855000495910646,0.030046319376017303,relu,4,0.001,100,0.3,3,5,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 5, 'reg': -2}",-96.0168025419116,-85.36654281438817,-106.66948353281866,-6.9219344684055875,-112.01240860372782,-81.39743439225036,38.345881002791806,1374
268,3.976116418838501,1.0184905992714264,0.15431756973266603,0.06222353386976264,relu,4,0.001,100,0.3,3,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 5, 'reg': -3}",-8.885072282737209,-85.34644906169602,-106.66705607871215,-3.530656862826574,-3.796980642527342,-41.64524298569985,44.93567182673938,757
269,3.477010726928711,0.20297062577580663,0.16734375953674316,0.040002201636491964,relu,4,0.001,100,0.3,3,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 100, 'l_r': 0.3, 'n_layer': 3, 'n_neur': 5, 'reg': -4}",-96.00268341840378,-85.34371686797766,-106.68064641735207,-74.68018329347528,-20.733230578899384,-76.68809211522164,29.94162593454526,1281
270,6.312954998016357,0.3259014878892714,0.1581568717956543,0.017820261630200732,relu,4,0.001,200,0.03,2,3,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 3, 'reg': -2}",-0.5535700586236393,-1.6616401661719595,-1.603091971316774,-1.6764173440280414,-2.633992698788643,-1.6257424477858116,0.6588614173113736,17
271,7.267012596130371,3.174055902131421,0.09492721557617187,0.03658020390140338,relu,4,0.001,200,0.03,2,3,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 3, 'reg': -3}",-1.3693953893934598,-1.0847468074588549,-106.66695884380412,-1.1656989241240634,-112.00004067941045,-44.45736812883818,52.99806051132569,862
272,6.171021127700806,2.5742936125552838,0.12162275314331054,0.027644530302463423,relu,4,0.001,200,0.03,2,3,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 3, 'reg': -4}",-96.00021318073517,-1.5047528066139162,-1.3846516218923388,-73.46042941865467,-1.4524875785689801,-34.760506921293015,41.41811843935542,574
273,6.323655128479004,2.364108038348715,0.11384096145629882,0.02121725867388229,relu,4,0.001,200,0.03,2,4,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -2}",-96.00006265440746,-1.697903668153144,-1.2296089199149893,-1.4810396106470198,-1.8491721467347815,-20.45155739997148,37.774829609535885,326
274,5.595323896408081,0.6484468676019094,0.12616887092590331,0.029851698289916222,relu,4,0.001,200,0.03,2,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -3}",-2.556245040492199,-1.564720664705549,-1.2790380389917464,-1.2134489448563683,-7.410931527777575,-2.8048768433646876,2.3527163743107167,89
275,7.040044832229614,2.1629245354634934,0.12455415725708008,0.037300012712399425,relu,4,0.001,200,0.03,2,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -4}",-1.7775372153236753,-1.6480095213766963,-2.092731157938639,-1.275062964430877,-1.2046182466612663,-1.5995918211462308,0.3281823718236658,15
276,5.897828817367554,0.607912408058292,0.161669921875,0.025128316597547287,relu,4,0.001,200,0.03,2,5,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -2}",-96.00025164058786,-1.6297055656711261,-2.2329923453785123,-74.66747246145194,-2.1202923789183843,-35.33014287840156,41.38193474117403,585
277,6.544397068023682,0.18039064771334276,0.14658799171447753,0.023746018614064012,relu,4,0.001,200,0.03,2,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -3}",-1.2839170563134499,-1.9215002400534493,-1.2024095823151237,-1.3302522533617558,-2.122332303930307,-1.5720822871948172,0.37497916234985756,14
278,8.396145153045655,2.4559099725909217,0.10630807876586915,0.020364555749027687,relu,4,0.001,200,0.03,2,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -4}",-1.2689388252439953,-1.0874514533650308,-1.4532452398146103,-1.2529688605240412,-1.6861178404884414,-1.3497444438872237,0.20423131548091097,3
279,6.47033166885376,0.6755700931547488,0.17621545791625975,0.06829590391860912,relu,4,0.001,200,0.03,3,3,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 3, 'reg': -2}",-0.7634300180999118,-85.33379043824971,-106.66725207810912,-74.66751084976741,-112.00081742526963,-75.88656016189915,39.96476322023575,1259
