,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
148,0.008104968070983886,0.00015927314194410353,0.08934874534606933,0.0140976585180246,10,25,3,uniform,"{'leaf_size': 10, 'n_neighbors': 25, 'p': 3, 'weights': 'uniform'}",-0.13317227926997152,-0.2015531862512491,-0.2983367983400145,-0.32280485843227436,-0.13999856965914623,-0.18509476303716094,-0.2855326049603659,-0.5675480945935426,-0.2362216633815802,-0.4312363834189785,-0.2801499201344284,0.12883767260767276,412
149,0.008144593238830567,8.088980227139346e-05,0.09062294960021973,0.014059539074449874,10,25,3,distance,"{'leaf_size': 10, 'n_neighbors': 25, 'p': 3, 'weights': 'distance'}",-0.13213760333668054,-0.19992178695111473,-0.29437937184746404,-0.3179741743952157,-0.13971756247926093,-0.18209423016392362,-0.2855602773545683,-0.5659601293338951,-0.2352008414028929,-0.4279490304059246,-0.27808950076709404,0.1283950182992294,328
150,0.007956194877624511,3.721148859155865e-05,0.055803751945495604,0.008307754470445697,10,26,1,uniform,"{'leaf_size': 10, 'n_neighbors': 26, 'p': 1, 'weights': 'uniform'}",-0.13212965885608507,-0.19104222104494792,-0.27329713201766703,-0.3217842325251395,-0.13682906426534835,-0.17844267564698488,-0.28305962763635556,-0.5654598685028932,-0.22356520234708568,-0.42267683481210605,-0.27282865176546134,0.12919201321772755,106
151,0.007944703102111816,0.00011233281811829499,0.05506753921508789,0.00853948762468664,10,26,1,distance,"{'leaf_size': 10, 'n_neighbors': 26, 'p': 1, 'weights': 'distance'}",-0.1317070593322647,-0.18915375046148827,-0.2693692130622649,-0.3172704297885057,-0.13577669288239055,-0.1761331284564911,-0.28410562840010517,-0.5629864260058932,-0.2232065386223202,-0.41970695362094,-0.2709415820632664,0.12859073818634617,52
152,0.00795443058013916,8.473847433026215e-05,0.03414628505706787,0.005627961430172543,10,26,2,uniform,"{'leaf_size': 10, 'n_neighbors': 26, 'p': 2, 'weights': 'uniform'}",-0.1326718792166271,-0.19638126108279777,-0.2889297815671794,-0.32149373532782544,-0.13749697043727513,-0.18306084997825878,-0.2872749563760106,-0.5643547001080242,-0.23174090153697144,-0.4258540842284401,-0.27692591198594096,0.12830503760439244,262
153,0.007924532890319825,7.72397786446612e-05,0.034486818313598636,0.005755869424123297,10,26,2,distance,"{'leaf_size': 10, 'n_neighbors': 26, 'p': 2, 'weights': 'distance'}",-0.13215116986853478,-0.19508417744920833,-0.2852185011717806,-0.3165272369820528,-0.1372243411624455,-0.1801413921990805,-0.2872720047088042,-0.5625135407071131,-0.23104755243713757,-0.42278763393088054,-0.27499675506170385,0.12774552213576082,172
154,0.008113861083984375,0.00013467265016125644,0.09106512069702148,0.013974478038664848,10,26,3,uniform,"{'leaf_size': 10, 'n_neighbors': 26, 'p': 3, 'weights': 'uniform'}",-0.13346598483941333,-0.20066847074731883,-0.3001914233085567,-0.3241611453675612,-0.14026801591115545,-0.18721248728857634,-0.28472102980379466,-0.5666445416788487,-0.23700434408784002,-0.4318364067465511,-0.2806173849779617,0.1285864106180067,424
155,0.008017468452453613,9.199707972188565e-05,0.0909005880355835,0.01416871807188411,10,26,3,distance,"{'leaf_size': 10, 'n_neighbors': 26, 'p': 3, 'weights': 'distance'}",-0.13231893959508054,-0.19921568998159053,-0.2960182879707484,-0.318977601109974,-0.139911778573915,-0.1839426106911606,-0.28481353604782766,-0.5651685422072326,-0.23586588015594853,-0.42844718903685913,-0.2784680055370337,0.12816729578926062,352
156,0.0079559326171875,8.303248011757279e-05,0.0565762996673584,0.00914254123502929,10,27,1,uniform,"{'leaf_size': 10, 'n_neighbors': 27, 'p': 1, 'weights': 'uniform'}",-0.13283087206408828,-0.19024151648991833,-0.2743407525542819,-0.3232566457910418,-0.13744880445941293,-0.17887150705861374,-0.2824191304556182,-0.5659868382121748,-0.22410160294609188,-0.42424250775938227,-0.2733740177790624,0.12940329855053329,124
157,0.007964134216308594,8.70964313449532e-05,0.056836938858032225,0.008303337058425921,10,27,1,distance,"{'leaf_size': 10, 'n_neighbors': 27, 'p': 1, 'weights': 'distance'}",-0.13226426200074362,-0.18846243029858997,-0.27012219944374416,-0.3185053570103496,-0.13611860416514096,-0.17653950119177436,-0.2835725285338195,-0.5635217714408847,-0.22330457776210913,-0.42101895324308836,-0.2713430185090244,0.12881761522580817,79
158,0.007973194122314453,8.375885949377709e-05,0.035260891914367674,0.005715785316458647,10,27,2,uniform,"{'leaf_size': 10, 'n_neighbors': 27, 'p': 2, 'weights': 'uniform'}",-0.13210074745068698,-0.19670957296007577,-0.28994595673553525,-0.32215354415547853,-0.13676770844224928,-0.18346415566028942,-0.2865601320146481,-0.563119126503283,-0.23141024647755284,-0.4270741191590255,-0.27693053095588244,0.12830393815636984,265
159,0.007961344718933106,7.810441636918388e-05,0.03539595603942871,0.005704703822893634,10,27,2,distance,"{'leaf_size': 10, 'n_neighbors': 27, 'p': 2, 'weights': 'distance'}",-0.1314552172274546,-0.19528799649704268,-0.2860341579799934,-0.3172259809732888,-0.1365158424111416,-0.18063349408270968,-0.28663767590753686,-0.5615647355945115,-0.2308831712441743,-0.42381548595976404,-0.2750053757877617,0.12778650944293465,175
160,0.00798192024230957,0.0001307353750911488,0.09197113513946534,0.01433201123541743,10,27,3,uniform,"{'leaf_size': 10, 'n_neighbors': 27, 'p': 3, 'weights': 'uniform'}",-0.13268846188559685,-0.2002522742249843,-0.3007986999513217,-0.32559282414806695,-0.14015690448879606,-0.18805438358579038,-0.2847774242028449,-0.5665229412066746,-0.2369450233013107,-0.4321396301464918,-0.2807928567141878,0.12872214253305675,427
