,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1280,1.8890470743179322,0.06768900987150935,0.02982959747314453,0.0009007663381068621,poisson,8,2,8,300,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 300}",-0.654231167189169,-0.8132435389365975,-1.1456768847918126,-1.2109143167695697,-0.9557073031701273,-0.754895352706337,-0.6934052145137116,-1.0740593368179923,-0.8326888938233024,-1.0716523801487188,-0.9206474388867338,0.18756938037076581,1491
1281,0.06426334381103516,0.0012766545492472643,0.0026077508926391603,9.55329323237087e-05,poisson,8,2,16,10,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 10}",-0.6627004143783526,-0.8037989326179148,-1.1594529007260734,-1.2115493290050894,-0.9731670744902051,-0.7714560621488451,-0.6946884326872954,-1.0541020969342787,-0.8190288811082711,-1.0903591066979945,-0.924030323079432,0.18834546419397766,1511
1282,0.12574920654296876,0.0012840487003563618,0.0035259246826171873,0.0001671750478365801,poisson,8,2,16,20,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 20}",-0.6536723037348793,-0.8071750726491546,-1.1521251809965003,-1.215357536883334,-0.9534512923330484,-0.7521001564348152,-0.6916681540481485,-1.0756590401553343,-0.8392726491096176,-1.0689041088266205,-0.9209385495171454,0.18950808041272282,1494
1283,0.3199748992919922,0.009893379561029566,0.006306862831115723,0.00010562435218331839,poisson,8,2,16,50,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 50}",-0.6574961847408269,-0.810683827484964,-1.136097015209909,-1.2122082109072847,-0.9617107675692089,-0.7617608141233063,-0.6983914863731865,-1.0724666271161594,-0.8357590484378313,-1.07996479402966,-0.9226538775992337,0.1856589651655303,1510
1284,0.6259055376052857,0.013972622453242546,0.011126708984375,0.0003632606186363112,poisson,8,2,16,100,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 100}",-0.6587671672593303,-0.8107182978657242,-1.1378820793921014,-1.21534649124766,-0.9522126484298284,-0.7598085928915076,-0.6928680915932612,-1.0682547056069642,-0.8440670976598506,-1.0715288235508194,-0.9211453995497048,0.18543683764025312,1497
1285,0.9429565906524658,0.022024211391231546,0.01608598232269287,0.0009040647872138755,poisson,8,2,16,150,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 150}",-0.6550926509039863,-0.8127583875751563,-1.140797080518797,-1.2111681047028213,-0.9575064113951631,-0.7603449073227756,-0.6950778166391451,-1.0734745187478962,-0.8375089599640625,-1.0724030832968992,-0.9216131921066703,0.1860788076556612,1505
1286,1.2377689361572266,0.006319411844265603,0.020791172981262207,0.0007372815312653814,poisson,8,2,16,200,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 200}",-0.6551275962013443,-0.8113664518793657,-1.1403623955843671,-1.2112870246354057,-0.9609502366831987,-0.7563056595411992,-0.6944447055491881,-1.0722449931939473,-0.8401380835611599,-1.07141763205497,-0.9213644778884147,0.18632752050231144,1502
1287,1.879425835609436,0.044320956988357814,0.029332304000854494,0.0003874094766801293,poisson,8,2,16,300,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 300}",-0.6539204121094546,-0.8097964740070525,-1.1444994161414928,-1.2116231242715254,-0.9574662861957212,-0.758947998600131,-0.6931514709963827,-1.0740864356854651,-0.8389973945960941,-1.0691896799942917,-0.921167869259761,0.18701253881318694,1499
1288,0.08526995182037353,0.0017789146340426042,0.0025910377502441407,8.395105142837178e-05,poisson,8,3,2,10,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 10}",-0.6931181663576982,-0.8525056120444822,-1.1908797204181851,-1.2489082430677,-0.9943580820877538,-0.7866178415708439,-0.7208906248324409,-1.128613566135819,-0.8772049384804859,-1.1233881438941689,-0.9616484938889578,0.1923339766873228,1573
1289,0.1671694040298462,0.0018715034668705863,0.0035311698913574217,0.0001242713841716603,poisson,8,3,2,20,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 20}",-0.699026857201734,-0.8522667516677555,-1.1891018431949183,-1.2498132521697958,-0.9998097882481354,-0.7933233702375719,-0.726769013363765,-1.1102024756307627,-0.8830875963255013,-1.1282978996853306,-0.963169884772527,0.1888532297557497,1597
1290,0.4202856540679932,0.008167723704058698,0.006346058845520019,0.00011516836794860364,poisson,8,3,2,50,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 50}",-0.6951862390539256,-0.850657771609066,-1.1924615222976518,-1.2563401591935486,-0.9932890648282698,-0.7881368212364044,-0.7245832958917519,-1.1149194938541478,-0.8778243480217797,-1.1271434767808934,-0.962054219276744,0.19200303899596605,1577
1291,0.8276423692703248,0.014114067916728914,0.010894036293029786,0.0004407658587001397,poisson,8,3,2,100,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 100}",-0.6954070533266061,-0.8510395236376432,-1.1932670672501808,-1.2520543026239235,-0.9974208612178955,-0.7924244856547715,-0.7235818981204699,-1.111739840262613,-0.8784505934370617,-1.1305746579079217,-0.9625960283439087,0.1912250117176663,1591
1292,1.2374638557434081,0.006172541850074021,0.01628866195678711,0.0023977274044478638,poisson,8,3,2,150,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 150}",-0.6926002384580958,-0.8531477551998476,-1.1934599271952337,-1.2557158583915677,-0.9962865883557693,-0.7942368549238508,-0.7228141879750488,-1.1128451016144911,-0.8734578834127017,-1.1269454331991875,-0.9621509828725794,0.19198915615512618,1579
1293,1.6578592538833619,0.02525614512695424,0.020493435859680175,0.0013335450042167077,poisson,8,3,2,200,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 200}",-0.6952754592649204,-0.8511624457062877,-1.1941841399842166,-1.2559060946636431,-0.9963771141800365,-0.7943647589499152,-0.7239717913584169,-1.1114481052537488,-0.8756018992882084,-1.1283210393221936,-0.9626612847971586,0.19160263115602283,1593
