,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,6.702222204208374,1.95195635318654,0.09956073760986328,0.019851703426972823,0.005,0.1,0.1,"{'d_c': 0.005, 'eps': 0.1, 'l_r': 0.1}",-0.08800427868004271,-0.1269636888842654,-0.24223590410132917,-0.24464030492213412,-0.11156171137558114,-0.1626811775926705,0.06709967379896377,4
11,7.133543395996094,1.7578470013924112,0.11715221405029297,0.02544794135830796,0.005,0.1,0.5,"{'d_c': 0.005, 'eps': 0.1, 'l_r': 0.5}",-0.13203936185993176,-0.1414872347300815,-0.26012134202712983,-0.256923669527008,-0.11326655207163253,-0.18076763204315674,0.06414131750892992,43
12,8.397664833068848,1.8500114367965146,0.10275225639343262,0.00442826858230338,0.001,1e-07,0.01,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.01}",-0.08485527710278819,-0.13271746457142508,-0.251368990282987,-0.24652126546273748,-0.11272411412431085,-0.1656374223088497,0.0697157006924636,15
13,7.148671722412109,1.7522130507854872,0.11893110275268555,0.03191199757374445,0.001,1e-07,0.05,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.05}",-0.09381963304037036,-0.13823234551703423,-0.2535110541885267,-0.24422144384375363,-0.1219167624859118,-0.17034024781511933,0.06573731051136972,28
14,7.979000186920166,2.1730933717064986,0.11400790214538574,0.01079063393697382,0.001,1e-07,0.1,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.1}",-0.22336061021792197,-0.15860494472098832,-0.27389396356179224,-0.22953988427049243,-0.12690117444927798,-0.2024601154440946,0.05273588679788215,51
15,7.249526882171631,1.6938168910138063,0.0945322036743164,0.0015412431978239806,0.001,1e-07,0.5,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.5}",-0.12462830840105898,-0.14480464245026317,-0.2884323757617652,-0.34753924576754724,-0.15018163028442172,-0.21111724053301123,0.08964311271908157,55
16,8.819185590744018,2.219580636876516,0.1020432472229004,0.011388486705470154,0.001,0.0001,0.01,"{'d_c': 0.001, 'eps': 0.0001, 'l_r': 0.01}",-0.10510448191391351,-0.1260672146423662,-0.2418028967199217,-0.251678096175191,-0.12521586491753206,-0.16997371087378488,0.06320458934066567,25
17,7.735606479644775,2.3580461263404717,0.10994925498962402,0.021036983668470094,0.001,0.0001,0.05,"{'d_c': 0.001, 'eps': 0.0001, 'l_r': 0.05}",-0.11819154294022724,-0.12392142555698692,-0.22645379026992601,-0.24533214379526605,-0.11090234275503381,-0.164960249063488,0.05836925768686662,13
18,6.623304271697998,1.9985778940208738,0.10526213645935059,0.02099826398037916,0.001,0.0001,0.1,"{'d_c': 0.001, 'eps': 0.0001, 'l_r': 0.1}",-0.10168471612906992,-0.12994778526189296,-0.2282781577625196,-0.24118863271050897,-0.11587769437125632,-0.16339539724704955,0.05907020076845483,6
19,7.055239868164063,1.7977525593565051,0.12245879173278809,0.01162662242504225,0.001,0.0001,0.5,"{'d_c': 0.001, 'eps': 0.0001, 'l_r': 0.5}",-0.12355491446040201,-0.15706247175192187,-0.2800251690032403,-0.251290487623139,-0.136806138822105,-0.18974783633216166,0.06354550184086652,48
20,6.628243923187256,0.08988053620111554,0.11050238609313964,0.019279593157964407,0.001,0.1,0.01,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.01}",-0.11528205080215916,-0.13424057184624438,-0.23625878973530998,-0.24313223070019302,-0.10635607758818302,-0.1670539441344179,0.06003081489505386,19
21,9.064041805267333,1.9519251014444277,0.11436262130737304,0.024359980748481613,0.001,0.1,0.05,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.05}",-0.12030582555564982,-0.13135528067190064,-0.2365746738180972,-0.2423225370938996,-0.11950999861451546,-0.17001366315081254,0.05687688665501195,26
