,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_drop,param_n_layer,param_n_neur,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
12,196.0156733751297,8.076042291010644,0.14785056114196776,0.018112318643062772,tanh,0.2,1,5,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 1, 'n_neur': 5}",-0.11645375460371907,-0.1698518984766668,-0.25636112396899935,-0.270920082561074,-0.1578548592135988,-0.1652212696075105,-0.28568920969359496,-0.5170778359929707,-0.17068054081390302,-0.37703824961190646,-0.24871488245439438,0.11637553868982552,16
13,193.5586746931076,9.314094228868619,0.1513946533203125,0.020729163781006078,tanh,0.2,1,10,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 1, 'n_neur': 10}",-0.12303022360941611,-0.1725642631589697,-0.26014050027961777,-0.268977120833528,-0.1587425967224112,-0.16572084391959305,-0.2880567369065802,-0.5188846545026663,-0.16856070311971177,-0.3780700782917656,-0.25027477213442595,0.11610008174165275,18
14,221.23197586536406,27.87524747565303,0.16234607696533204,0.024991311103308402,tanh,0.2,1,15,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 1, 'n_neur': 15}",-0.12250795320231858,-0.1721099912934598,-0.25991440335534866,-0.26443194183046365,-0.16200645072362485,-0.1658250107049362,-0.28530723235333794,-0.5185442790303223,-0.16532869695336763,-0.38082225445867585,-0.24967982139058553,0.11623306004022677,17
15,194.60269439220428,9.257826506209812,0.1856461763381958,0.048251158971567586,tanh,0.2,2,5,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 2, 'n_neur': 5}",-0.1644142521212902,-0.2889989996492007,-0.3496932241178494,-0.4144201911911722,-0.19580814090742768,-0.2076819976437045,-0.34084306396679614,-0.5839553305007624,-0.26721697363031477,-0.4528744894572958,-0.3265906663185814,0.12374084101796702,34
16,244.55615229606627,18.32793884605629,0.16476407051086425,0.026591921175954762,tanh,0.2,2,10,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 2, 'n_neur': 10}",-0.1684552672788358,-0.24943724824392857,-0.3593448879043017,-0.41077640085617506,-0.19868742102696202,-0.19819507369453332,-0.3193019673955445,-0.57348396104587,-0.27199717456935096,-0.4637946338310343,-0.32134740358465363,0.1242996716639425,31
17,253.63088898658754,13.870140249198286,0.1486668109893799,0.019843497077280968,tanh,0.2,2,15,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 2, 'n_neur': 15}",-0.16738389680330165,-0.2545491170896862,-0.35868953547211546,-0.4099691538977686,-0.19858600196648152,-0.20287108112868932,-0.31271001709825086,-0.5815878879593805,-0.2772919308833153,-0.4606117703392635,-0.3224250392638253,0.12475799466980952,32
18,208.96484999656678,18.147259868290554,0.16858353614807128,0.022798284061122432,tanh,0.2,3,5,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 3, 'n_neur': 5}",-0.26542711607199493,-0.7548223675458888,-0.5202629741117847,-0.5594598250331558,-0.327987447799698,-0.34424687058260756,-0.6911682570498859,-0.6683410085840036,-0.44396549324867596,-0.5832198039742738,-0.5158901164001969,0.15816976089930335,50
19,267.361904001236,18.850764658197857,0.18942389488220215,0.036725730904342974,tanh,0.2,3,10,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 3, 'n_neur': 10}",-0.2656940474679683,-0.7509874828145648,-0.4948491510986893,-1.0541084082076606,-0.3428697048913252,-0.720782182223603,-0.391908351716629,-0.6676202938162505,-0.377619569693766,-0.556461423063458,-0.5622900614993915,0.22749419082005004,54
20,268.1424048423767,18.321509633799764,0.19168076515197754,0.02739918462600709,tanh,0.2,3,15,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 3, 'n_neur': 15}",-0.6091645139873249,-0.7495074699514005,-1.0152322322052085,-0.5566935835961158,-0.33896177733971583,-0.7169577847635784,-0.3890095300611478,-0.9764757541929385,-0.7643351386359926,-0.918872699493249,-0.7035210484226673,0.22052676365142249,63
21,248.2393043756485,19.431864340010616,0.2099008798599243,0.03626731253107894,tanh,0.2,4,5,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 4, 'n_neur': 5}",-0.3593034950119358,-0.4516261454534818,-1.005772685120634,-1.060660728672448,-0.8535473136596791,-0.7243595924366119,-0.6895278270435319,-0.9864360940658099,-0.7517076809214954,-0.909600837378401,-0.7792542399764029,0.22168809073229973,68
