,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
145,1.6741421222686768,0.059767081273905544,0.2133026599884033,0.006346403304767418,0.1,3,0.01,scale,poly,"{'C': 0.1, 'degree': 3, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'poly'}",-0.3497671891155622,-0.6276312352792305,-0.43526424642565903,-0.5229019841660864,-0.5764305876757546,-0.5023990485324585,0.09938581983148176,223
146,1.6128565788269043,0.02351886874160126,0.4337427616119385,0.014336503139394195,0.1,3,0.01,scale,rbf,"{'C': 0.1, 'degree': 3, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",-0.14226364782124293,-0.2852041821630719,-0.1475370075584598,-0.38024723741208744,-0.2926354144825218,-0.2495774978874768,0.09178926922471134,17
147,2.6231414318084716,0.05406448654925095,0.49520077705383303,0.0051817844126164775,0.1,3,0.01,scale,sigmoid,"{'C': 0.1, 'degree': 3, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",-6.1186567072901585,-14.012636337849102,-10.072245947310732,-14.34114590852128,-15.310679032791969,-11.971072786752648,3.429125706287729,317
148,1.3498509407043457,0.06563563735185281,0.1831613540649414,0.009540805512433897,0.1,3,0.01,auto,linear,"{'C': 0.1, 'degree': 3, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",-0.1665564933604197,-0.28102815327758834,-0.2087167818896896,-0.4028794607016634,-0.3034706223859285,-0.2725303023230579,0.08163704250228412,71
149,1.9902156352996827,0.06376748963682771,0.21751551628112792,0.009467013515870783,0.1,3,0.01,auto,poly,"{'C': 0.1, 'degree': 3, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'poly'}",-0.3488345704134108,-0.6266505996551501,-0.4289205844697505,-0.5186011325115832,-0.5679218581014467,-0.49818574903026835,0.09888029956769924,221
150,1.627462100982666,0.03710572910672422,0.4250945568084717,0.01587871407412963,0.1,3,0.01,auto,rbf,"{'C': 0.1, 'degree': 3, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",-0.14346564526642663,-0.28863273880523216,-0.15171654142626356,-0.3827020481334421,-0.29978056687366494,-0.2532595081010059,0.09223503881614481,37
151,2.6473692893981933,0.06383202267180028,0.50847487449646,0.0035483837284676885,0.1,3,0.01,auto,sigmoid,"{'C': 0.1, 'degree': 3, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",-10.631941556635566,-20.796031007830894,-16.04250009999446,-19.22426188887636,-21.62365445183733,-17.66367780103492,4.000050152970574,329
152,1.0905861854553223,0.03157382139593745,0.13962965011596679,0.007434607212567084,0.1,3,0.1,scale,linear,"{'C': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",-0.16737814353802077,-0.28036088673048914,-0.21272147272755373,-0.4036028988692419,-0.3046097534155188,-0.27373463105616486,0.08111381553861834,101
153,1.580793571472168,0.03496924164520232,0.19144701957702637,0.00691778158875375,0.1,3,0.1,scale,poly,"{'C': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",-0.3506168344299656,-0.6289133426099114,-0.43574905779457596,-0.5206675871323493,-0.5842853214972286,-0.5040464286928061,0.10051015897391072,224
154,1.1998369693756104,0.02490466819892162,0.31975455284118653,0.0104410760963863,0.1,3,0.1,scale,rbf,"{'C': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",-0.14418082217326345,-0.2882237947369684,-0.15055462318631718,-0.3815292681481281,-0.2940148579847494,-0.25170067324588535,0.09140124124451401,33
